Date,Region,ProductCategory,Price,UnitsSold,MarketingSpend,CustomerSatisfaction,Sales,ProfitMargin,Profit
2023-02-06,South America,Clothing,50.35,81,4774.9,3.88,4390.53,0.4,1756.21
2023-02-07,North America,Electronics,172.39,46,11221.8,3.63,8007.93,0.16,1281.27
2023-02-08,South America,Electronics,199.67,49,10332.47,3.85,10461.57,0.16,1673.85
2023-02-08,North America,Electronics,224.05,48,9615.56,3.74,9390.82,0.15,1408.62
2023-02-10,North America,Furniture,303.91,20,9324.16,4.07,6324.21,0.29,1834.02
2023-02-10,Europe,Electronics,208.86,44,11921.4,3.57,9836.63,0.2,1967.33
2023-02-11,North America,Accessories,27.89,139,2953.71,4.2,4093.39,0.3,1228.02
2023-02-12,North America,Accessories,30.09,156,3758.26,4.06,5210.98,0.42,2188.61
2023-02-15,South America,Accessories,30.86,131,2734.8,4.33,3940.48,0.26,1024.52
2023-02-16,Europe,Home Decor,122.96,34,3393.23,3.87,4383.99,0.23,1008.32
2023-02-16,South America,Electronics,196.28,47,9298.23,4.2,9813.89,0.15,1472.08
2023-02-17,Africa,Electronics,192.4,46,10082.91,2.83,9402.45,0.12,1128.29
2023-02-18,Europe,Office Supplies,25.91,159,2425.48,4.49,4401.91,0.05,220.1
2023-02-20,South America,Clothing,56.97,97,3673.8,4.18,5584.29,0.34,1898.66
2023-02-22,South America,Furniture,338.14,26,8686.96,3.05,9650.79,0.15,1447.62
2023-02-22,South America,Electronics,208.51,46,12195.54,4.19,8967.0,0.11,986.37
2023-02-22,Asia,Office Supplies,25.88,187,2647.17,4.49,4843.37,0.13,629.64
2023-02-23,Europe,Office Supplies,25.09,151,2161.94,4.4,3678.0,0.05,183.9
2023-02-23,North America,Clothing,48.19,97,5651.35,3.91,5099.87,0.35,1784.95
2023-02-27,South America,Electronics,176.69,41,12159.36,3.33,7700.03,0.18,1386.01
2023-02-27,Africa,Home Decor,101.32,32,4927.39,4.5,3385.1,0.2,677.02
2023-02-28,Europe,Home Decor,93.14,46,4067.25,3.86,4685.86,0.17,796.6
2023-03-03,Asia,Electronics,189.43,51,10511.66,3.54,9960.31,0.12,1195.24
2023-03-04,North America,Home Decor,109.35,47,3219.54,3.97,5362.18,0.25,1340.55
2023-03-06,South America,Home Decor,94.33,28,4298.66,3.55,2943.25,0.16,470.92
2023-03-10,Africa,Clothing,54.91,77,6814.01,4.26,4084.5,0.33,1347.88
2023-03-10,Europe,Home Decor,115.58,29,4057.49,4.67,3638.18,0.24,873.16
2023-03-11,Asia,Electronics,188.4,41,12917.28,3.61,8652.35,0.13,1124.81
2023-03-13,Asia,Furniture,405.33,21,8317.91,4.32,8123.3,0.27,2193.29
2023-03-15,North America,Home Decor,115.57,28,4704.93,3.76,3363.65,0.2,672.73
2023-03-16,Africa,Furniture,418.88,20,8230.03,4.56,7831.72,0.29,2271.2
2023-03-17,Asia,Clothing,50.03,90,4669.12,4.15,4382.26,0.34,1489.97
2023-03-17,Asia,Electronics,182.55,51,9715.78,4.37,9493.45,0.1,949.35
2023-03-22,North America,Furniture,373.51,19,9731.58,3.75,7470.57,0.3,2241.17
2023-03-22,Asia,Electronics,132.23,51,9152.45,3.34,6945.55,0.1,694.56
2023-03-27,Asia,Furniture,367.94,20,6480.07,3.98,7235.74,0.28,2026.01
2023-03-27,Europe,Office Supplies,29.22,162,2530.61,4.55,4760.95,0.09,428.49
2023-03-29,North America,Furniture,372.1,31,7357.43,3.74,11715.5,0.22,2577.41
2023-03-31,Asia,Accessories,29.43,134,2814.64,4.03,4261.45,0.34,1448.89
2023-04-02,Africa,Accessories,36.76,125,3596.6,4.12,4157.42,0.4,1662.97
2023-04-02,Asia,Furniture,442.02,29,9127.37,3.25,12473.84,0.27,3367.94
2023-04-04,South America,Electronics,184.63,32,7448.41,4.18,6431.58,0.17,1093.37
2023-04-06,Asia,Clothing,48.15,89,3897.69,3.41,4498.3,0.3,1349.49
2023-04-06,South America,Electronics,216.37,39,8911.27,4.11,8713.29,0.17,1481.26
2023-04-06,Africa,Furniture,383.43,20,9664.81,3.26,7675.15,0.19,1458.28
2023-04-09,North America,Office Supplies,24.76,174,2623.01,4.96,4272.63,0.15,640.89
2023-04-09,North America,Furniture,383.06,14,6261.4,4.03,5591.03,0.18,1006.39
2023-04-09,Europe,Home Decor,110.83,34,3023.58,4.37,3869.86,0.16,619.18
2023-04-09,Asia,Clothing,45.84,105,5592.04,4.12,5058.68,0.34,1719.95
2023-04-09,North America,Home Decor,98.31,31,2761.23,4.49,3023.85,0.23,695.49
2023-04-09,Europe,Office Supplies,28.09,181,1599.65,4.21,5216.56,0.07,365.16
2023-04-09,Asia,Office Supplies,21.83,145,1988.53,4.48,2894.43,0.06,173.67
2023-04-10,North America,Accessories,26.71,137,4155.72,4.09,3811.51,0.29,1105.34
2023-04-10,North America,Home Decor,89.7,41,4686.26,4.1,3947.39,0.21,828.95
2023-04-13,South America,Accessories,30.32,148,2821.41,4.57,4946.61,0.45,2225.97
2023-04-13,Asia,Home Decor,101.69,46,4559.22,3.91,4768.13,0.19,905.94
2023-04-14,Asia,Clothing,47.82,93,4272.69,3.67,4952.82,0.36,1783.02
2023-04-14,Africa,Office Supplies,22.62,161,2292.69,4.3,4016.79,0.07,281.18
2023-04-16,Asia,Clothing,47.58,83,4793.82,3.98,3671.17,0.33,1211.49
2023-04-16,Africa,Home Decor,96.26,19,4607.27,4.36,1927.25,0.23,443.27
2023-04-17,North America,Furniture,292.9,12,8760.43,3.82,3951.53,0.21,829.82
2023-04-19,Africa,Office Supplies,23.98,176,2672.58,4.42,4568.71,0.08,365.5
2023-04-22,South America,Accessories,31.95,145,3501.45,4.63,4901.6,0.34,1666.54
2023-04-23,Europe,Office Supplies,25.58,153,1842.42,4.64,4051.57,0.12,486.19
2023-04-23,Africa,Clothing,57.82,107,3459.91,4.12,6440.41,0.23,1481.29
2023-04-23,Europe,Electronics,182.5,54,8825.72,3.63,9720.9,0.19,1846.97
2023-04-25,Europe,Clothing,53.8,137,4704.61,4.65,7353.54,0.21,1544.24
2023-04-26,Asia,Electronics,212.17,58,10825.57,4.94,12898.17,0.17,2192.69
2023-04-27,North America,Accessories,29.81,137,4071.52,4.31,4213.16,0.3,1263.95
2023-04-28,Africa,Furniture,370.58,16,8114.12,3.52,6287.07,0.25,1571.77
2023-04-30,South America,Electronics,190.16,49,7686.3,4.44,9012.4,0.15,1351.86
2023-04-30,South America,Office Supplies,23.77,192,2519.25,4.33,4320.3,0.13,561.64
2023-05-02,North America,Home Decor,120.8,42,3408.23,4.42,5073.87,0.24,1217.73
2023-05-03,Europe,Office Supplies,25.9,172,2864.38,4.76,4231.86,0.14,592.46
2023-05-04,Asia,Home Decor,116.76,39,4044.04,4.12,4561.66,0.22,1003.57
2023-05-05,Africa,Clothing,50.91,82,3750.11,3.86,4435.72,0.22,975.86
2023-05-07,South America,Electronics,185.81,43,9821.67,3.52,8539.83,0.16,1366.37
2023-05-08,Africa,Electronics,207.65,48,10118.59,3.68,10530.84,0.17,1790.24
2023-05-09,Africa,Home Decor,107.94,31,3364.63,4.14,3399.95,0.23,781.99
2023-05-10,Africa,Home Decor,125.12,34,2967.43,4.17,4859.05,0.18,874.63
2023-05-11,North America,Home Decor,94.69,22,3545.44,4.26,2065.71,0.16,330.51
2023-05-11,Asia,Electronics,196.22,55,12768.65,4.21,10823.49,0.17,1839.99
2023-05-11,Africa,Clothing,51.32,102,5457.62,4.29,5563.42,0.38,2114.1
2023-05-12,Asia,Office Supplies,26.38,179,2380.86,4.75,4752.31,0.11,522.75
2023-05-13,Europe,Clothing,49.07,95,4835.26,4.12,4569.46,0.32,1462.23
2023-05-15,North America,Electronics,189.63,49,9102.0,3.43,10144.9,0.15,1521.73
2023-05-15,South America,Home Decor,96.93,35,4249.17,3.74,3543.19,0.23,814.93
2023-05-19,South America,Home Decor,95.06,28,4620.25,3.74,2884.71,0.25,721.18
2023-05-23,Asia,Home Decor,105.59,45,3530.57,4.02,4703.02,0.21,987.63
2023-05-24,North America,Office Supplies,22.26,175,2448.79,4.64,3996.64,0.12,479.6
2023-05-24,North America,Furniture,309.19,18,4369.0,4.47,5482.3,0.25,1370.58
2023-05-24,Africa,Accessories,30.91,138,2001.75,4.14,3933.41,0.3,1180.02
2023-05-24,Europe,Electronics,193.16,43,9111.0,4.36,8889.5,0.15,1333.42
2023-05-27,North America,Furniture,353.5,21,7358.74,3.86,7958.17,0.27,2148.71
2023-05-28,Africa,Electronics,202.92,39,15048.79,3.78,7762.01,0.15,1164.3
2023-05-30,Africa,Home Decor,117.09,38,4451.09,4.36,4486.73,0.19,852.48
2023-05-31,Africa,Home Decor,97.61,42,4803.04,4.63,4357.49,0.15,653.62
2023-05-31,North America,Furniture,352.08,15,7923.71,4.26,5615.44,0.18,1010.78
2023-06-01,Asia,Office Supplies,25.94,149,2382.98,4.45,3959.31,0.1,395.93
2023-06-02,North America,Office Supplies,23.28,159,2051.94,4.06,3924.31,0.06,235.46
2023-06-03,Asia,Accessories,31.35,133,3802.68,4.23,4033.65,0.42,1694.13
2023-06-04,Africa,Accessories,28.86,119,3135.2,3.75,3635.04,0.25,908.76
2023-06-06,Asia,Electronics,198.5,50,8877.07,5.0,10418.56,0.17,1771.16
2023-06-07,Asia,Home Decor,104.84,37,3978.79,4.0,3566.33,0.25,891.58
2023-06-09,Africa,Office Supplies,23.97,163,3464.19,4.66,4222.77,0.06,253.37
2023-06-09,North America,Home Decor,109.74,32,2910.82,4.76,3722.65,0.23,856.21
2023-06-09,South America,Clothing,61.78,97,8657.7,3.89,6616.17,0.25,1654.04
2023-06-10,Europe,Office Supplies,26.15,178,2070.82,4.55,4669.68,0.07,326.88
2023-06-10,South America,Home Decor,84.44,32,3559.89,4.54,2805.82,0.18,505.05
2023-06-10,South America,Clothing,57.91,84,3173.34,4.36,4993.94,0.29,1448.24
2023-06-11,Europe,Home Decor,99.21,30,3886.66,4.09,3180.09,0.15,477.01
2023-06-12,North America,Accessories,32.39,134,2583.02,4.94,4483.81,0.25,1120.95
2023-06-12,Asia,Electronics,241.04,58,11852.14,4.13,14887.07,0.15,2233.06
2023-06-14,North America,Accessories,33.21,127,2370.1,3.91,4454.39,0.33,1469.95
2023-06-16,Africa,Accessories,23.12,149,3101.35,3.98,3540.9,0.28,991.45
2023-06-17,Africa,Accessories,31.63,134,3865.2,3.8,4621.18,0.44,2033.32
2023-06-17,North America,Office Supplies,27.21,145,2359.5,4.55,4221.8,0.11,464.4
2023-06-19,Africa,Furniture,357.32,21,7683.09,4.28,8375.0,0.28,2345.0
2023-06-20,North America,Furniture,318.21,14,10527.9,2.83,4882.97,0.24,1171.91
2023-06-21,South America,Clothing,47.38,106,4583.44,3.77,5558.29,0.24,1333.99
2023-06-23,South America,Office Supplies,26.77,163,1978.73,4.59,4372.55,0.13,568.43
2023-06-25,Africa,Office Supplies,24.06,188,1814.32,4.46,4436.27,0.08,354.9
2023-06-26,North America,Electronics,209.33,40,12167.47,3.6,9040.71,0.18,1627.33
2023-06-29,Asia,Clothing,52.15,97,5336.99,4.42,5251.72,0.3,1575.52
2023-06-30,South America,Accessories,28.62,136,2225.79,3.85,3924.22,0.3,1177.27
2023-07-03,North America,Furniture,362.94,19,7794.02,3.77,7187.42,0.26,1868.73
2023-07-05,Europe,Home Decor,105.84,39,3487.14,3.8,4560.0,0.19,866.4
2023-07-06,Asia,Accessories,35.04,138,2785.09,4.38,4651.34,0.39,1814.02
2023-07-07,South America,Electronics,178.81,44,15296.29,3.98,8084.38,0.12,970.13
2023-07-08,North America,Furniture,331.58,13,9826.61,3.19,4970.6,0.29,1441.47
2023-07-09,North America,Clothing,44.13,96,4848.15,4.74,4315.16,0.39,1682.91
2023-07-09,South America,Accessories,33.84,122,3198.12,4.18,4101.74,0.36,1476.63
2023-07-09,Asia,Accessories,26.41,145,2529.7,4.61,3893.03,0.32,1245.77
2023-07-09,Africa,Clothing,42.39,104,4107.15,3.79,4798.07,0.27,1295.48
2023-07-10,Europe,Furniture,310.03,14,8297.62,3.96,4313.37,0.27,1164.61
2023-07-11,North America,Electronics,182.76,51,12386.08,3.96,9270.76,0.16,1483.32
2023-07-11,Europe,Electronics,214.84,41,10244.28,5.0,8864.86,0.14,1241.08
2023-07-11,Asia,Electronics,186.48,42,8744.03,4.17,8317.5,0.13,1081.28
2023-07-13,South America,Electronics,196.52,47,10598.11,4.23,10599.12,0.15,1589.87
2023-07-14,North America,Office Supplies,28.02,170,2493.96,4.45,4650.53,0.07,325.54
2023-07-15,South America,Clothing,47.65,88,7571.07,4.17,4136.52,0.31,1282.32
2023-07-15,Asia,Home Decor,94.05,34,3480.92,4.08,3544.72,0.16,567.16
2023-07-17,Asia,Electronics,198.73,50,12244.18,4.48,10223.57,0.17,1738.01
2023-07-20,North America,Electronics,214.36,53,8866.87,4.2,11747.96,0.18,2114.63
2023-07-20,South America,Home Decor,110.26,44,4344.28,3.81,5090.42,0.18,916.28
2023-07-21,Asia,Electronics,170.39,49,7481.13,3.75,8814.05,0.11,969.55
2023-07-22,Europe,Furniture,269.36,12,11125.29,3.95,3685.71,0.25,921.43
2023-07-23,Europe,Office Supplies,27.62,155,2757.53,4.29,4527.67,0.13,588.6
2023-07-25,Europe,Office Supplies,27.38,182,2109.52,4.7,5103.2,0.06,306.19
2023-07-26,Europe,Furniture,356.59,19,8213.58,3.72,6844.75,0.24,1642.74
2023-07-27,North America,Accessories,34.89,139,3838.16,4.33,4750.25,0.36,1710.09
2023-08-03,Europe,Furniture,383.79,21,7547.88,4.01,8929.33,0.26,2321.63
2023-08-03,South America,Office Supplies,27.05,160,1751.09,4.52,4160.4,0.11,457.64
2023-08-05,Asia,Accessories,32.66,124,3107.44,4.5,4151.42,0.44,1826.62
2023-08-05,Europe,Clothing,53.37,96,5680.77,3.79,5034.12,0.28,1409.55
2023-08-05,North America,Furniture,320.52,20,12425.82,2.36,6797.39,0.27,1835.3
2023-08-06,South America,Accessories,27.78,140,3151.16,4.21,3911.71,0.37,1447.33
2023-08-06,South America,Office Supplies,25.03,164,2191.16,4.52,4377.79,0.06,262.67
2023-08-08,Asia,Home Decor,109.8,42,5500.46,3.88,4980.41,0.19,946.28
2023-08-08,Asia,Office Supplies,18.87,169,2443.13,4.72,3031.8,0.13,394.13
2023-08-08,South America,Electronics,174.86,47,12239.58,4.05,8330.85,0.15,1249.63
2023-08-11,Africa,Office Supplies,26.02,167,2740.98,4.72,4522.28,0.13,587.9
2023-08-11,North America,Clothing,38.25,106,3953.64,4.33,4025.95,0.28,1127.27
2023-08-13,Europe,Furniture,342.31,18,5229.71,3.81,6243.21,0.23,1435.94
2023-08-13,Africa,Home Decor,91.44,32,4627.33,3.84,2975.5,0.2,595.1
2023-08-13,Europe,Electronics,199.21,39,14201.96,2.95,7521.58,0.14,1053.02
2023-08-14,Europe,Home Decor,101.83,46,4649.09,5.0,4904.0,0.23,1127.92
2023-08-15,North America,Home Decor,88.76,32,4405.96,4.2,2853.0,0.19,542.07
2023-08-18,North America,Home Decor,93.43,34,3998.02,3.35,3260.6,0.18,586.91
2023-08-18,North America,Electronics,144.81,40,9296.75,4.09,6154.02,0.13,800.02
2023-08-19,Africa,Electronics,247.27,47,10174.31,3.73,12100.66,0.14,1694.09
2023-08-19,Africa,Office Supplies,21.9,180,2333.87,4.46,4119.76,0.09,370.78
2023-08-19,Europe,Accessories,27.95,132,3780.3,4.46,3638.72,0.43,1564.65
2023-08-21,South America,Accessories,31.83,133,3650.66,4.35,3657.89,0.37,1353.42
2023-08-21,North America,Home Decor,97.77,34,3314.68,4.02,3577.53,0.21,751.28
2023-08-21,Asia,Furniture,407.36,23,8532.82,4.2,8393.44,0.15,1259.02
2023-08-22,South America,Home Decor,103.39,31,4110.57,3.98,3351.39,0.19,636.76
2023-08-23,Europe,Furniture,413.02,14,7520.3,4.15,5532.57,0.15,829.89
2023-08-25,Africa,Electronics,218.39,42,7695.88,3.74,9356.59,0.17,1590.62
2023-08-29,Africa,Office Supplies,24.87,175,2415.64,4.34,4204.26,0.13,546.55
2023-08-30,Asia,Furniture,334.25,18,7318.62,3.55,6258.43,0.16,1001.35
2023-08-31,Asia,Electronics,204.21,46,13495.37,4.39,9884.03,0.11,1087.24
2023-09-01,South America,Electronics,188.99,59,9971.29,4.44,11102.9,0.11,1221.32
2023-09-03,South America,Home Decor,96.23,36,4329.16,3.86,3439.21,0.23,791.02
2023-09-04,North America,Clothing,45.91,87,4654.08,4.02,4359.61,0.27,1177.09
2023-09-04,Europe,Clothing,44.3,86,3369.32,3.94,3979.63,0.25,994.91
2023-09-09,South America,Furniture,320.94,13,7709.38,3.38,4703.56,0.22,1034.78
2023-09-09,Asia,Electronics,181.55,41,14269.93,4.51,8159.28,0.17,1387.08
2023-09-10,Africa,Furniture,378.43,14,9210.43,4.36,5680.48,0.18,1022.49
2023-09-10,Asia,Home Decor,92.47,42,3786.3,3.67,3901.21,0.24,936.29
2023-09-10,South America,Office Supplies,23.7,183,3108.64,4.67,4527.89,0.05,226.39
2023-09-10,Asia,Office Supplies,30.04,160,3030.3,4.4,5209.07,0.07,364.63
2023-09-11,Africa,Office Supplies,27.32,195,3047.17,4.72,5130.25,0.09,461.72
2023-09-11,North America,Clothing,48.91,88,5121.51,3.9,4609.24,0.23,1060.13
2023-09-11,North America,Electronics,156.88,48,12991.69,3.84,7716.93,0.19,1466.22
2023-09-13,Africa,Home Decor,105.13,34,4112.81,3.71,3452.12,0.22,759.47
2023-09-15,North America,Clothing,47.78,89,6818.01,4.04,4505.56,0.4,1802.22
2023-09-16,North America,Furniture,385.07,17,8300.69,3.78,6926.51,0.24,1662.36
2023-09-20,South America,Electronics,240.67,43,9799.38,4.08,11090.83,0.19,2107.26
2023-09-21,Europe,Home Decor,90.69,43,4315.26,3.74,4140.05,0.18,745.21
2023-09-22,South America,Electronics,180.8,48,7813.03,4.03,8698.1,0.12,1043.77
2023-09-25,Europe,Furniture,331.93,14,8497.92,3.85,4905.92,0.26,1275.54
2023-09-25,Europe,Furniture,377.44,23,8381.57,4.09,9791.82,0.23,2252.12
2023-09-26,North America,Furniture,325.4,16,9689.89,3.96,5256.07,0.2,1051.21
2023-09-27,Europe,Furniture,372.61,17,6926.28,4.13,6650.06,0.21,1396.51
2023-09-28,Africa,Furniture,289.07,23,4140.62,3.66,7001.74,0.2,1400.35
2023-09-28,Asia,Clothing,43.45,101,4421.73,4.02,4729.2,0.38,1797.1
2023-09-29,North America,Office Supplies,22.76,186,2556.03,4.09,4488.35,0.06,269.3
2023-09-30,Africa,Office Supplies,28.56,167,2769.83,4.66,4956.59,0.12,594.79
2023-10-01,Europe,Furniture,401.67,24,8368.7,3.72,9867.55,0.21,2072.19
2023-10-04,Europe,Office Supplies,24.76,192,2569.15,4.61,4670.12,0.11,513.71
2023-10-04,Africa,Clothing,40.38,84,4694.73,4.08,3474.78,0.23,799.2
2023-10-04,Europe,Office Supplies,26.31,168,3025.59,4.36,5033.15,0.07,352.32
2023-10-04,North America,Clothing,60.09,78,5219.8,4.21,4961.71,0.23,1141.19
2023-10-06,Africa,Home Decor,89.2,29,3402.57,4.36,2707.27,0.24,649.74
2023-10-07,Europe,Clothing,55.21,93,4157.63,4.38,5250.83,0.28,1470.23
2023-10-07,Africa,Home Decor,107.73,33,4084.69,3.72,3598.47,0.21,755.68
2023-10-10,Europe,Office Supplies,28.24,161,2755.63,4.31,4722.98,0.09,425.07
2023-10-10,Africa,Clothing,54.02,106,5539.45,4.01,5624.23,0.31,1743.51
2023-10-11,Europe,Furniture,369.87,19,7271.33,3.57,7580.98,0.15,1137.15
2023-10-12,North America,Accessories,32.75,136,3226.48,4.39,4700.32,0.27,1269.09
2023-10-12,Africa,Home Decor,88.85,37,4471.34,3.87,3362.2,0.2,672.44
2023-10-15,Europe,Office Supplies,24.5,154,2022.51,4.42,3802.38,0.14,532.33
2023-10-16,Europe,Electronics,181.42,45,9867.89,4.19,7801.85,0.11,858.2
2023-10-16,Africa,Electronics,244.37,42,11867.48,3.56,11153.61,0.14,1561.51
2023-10-21,Europe,Electronics,173.77,39,10924.93,4.11,6879.3,0.12,825.52
2023-10-23,Africa,Electronics,226.97,54,9302.04,3.88,11410.04,0.15,1711.51
2023-10-25,Africa,Home Decor,95.16,38,5671.47,4.28,3758.18,0.23,864.38
2023-10-28,North America,Office Supplies,26.03,183,2634.14,4.52,4894.15,0.05,244.71
2023-10-29,Africa,Clothing,51.47,86,4525.4,4.28,4968.6,0.34,1689.32
2023-10-29,South America,Office Supplies,25.61,168,3145.11,4.7,4547.37,0.1,454.74
2023-10-31,Europe,Office Supplies,24.35,185,2374.26,4.51,4849.48,0.12,581.94
2023-11-01,North America,Furniture,333.6,16,6296.0,3.8,5797.25,0.17,985.53
2023-11-05,North America,Home Decor,94.71,31,3639.5,4.31,2875.45,0.22,632.6
2023-11-10,North America,Accessories,26.64,127,3401.92,4.52,3746.22,0.4,1498.49
2023-11-10,Africa,Furniture,268.25,19,9980.36,3.8,5841.81,0.25,1460.45
2023-11-12,Asia,Accessories,30.78,139,3798.95,4.45,4358.66,0.33,1438.36
2023-11-14,Africa,Accessories,31.62,116,3276.26,4.85,3958.43,0.27,1068.78
2023-11-17,South America,Office Supplies,23.55,181,2563.0,4.51,4199.75,0.07,293.98
2023-11-19,Africa,Office Supplies,24.05,162,2400.66,4.5,4055.01,0.13,527.15
2023-11-19,Africa,Office Supplies,26.07,158,3099.82,4.61,4410.63,0.11,485.17
2023-11-21,North America,Home Decor,120.36,32,3481.27,4.64,3737.01,0.19,710.03
2023-11-22,Europe,Electronics,214.7,44,13245.18,3.48,10709.13,0.17,1820.55
2023-11-23,Africa,Office Supplies,23.61,164,2740.03,4.51,3905.51,0.11,429.61
2023-11-27,North America,Clothing,45.86,105,7380.19,4.38,4627.47,0.4,1850.99
2023-11-27,Africa,Accessories,30.59,132,2896.97,4.66,4534.85,0.26,1179.06
2023-12-02,Europe,Electronics,170.98,51,10337.12,4.0,9770.3,0.15,1465.54
2023-12-04,Asia,Accessories,32.66,140,2631.59,4.4,4992.96,0.31,1547.82
2023-12-04,Europe,Electronics,199.27,40,8207.94,3.77,8571.35,0.16,1371.42
2023-12-04,South America,Home Decor,94.93,34,4433.67,4.32,3602.15,0.21,756.45
2023-12-05,Africa,Furniture,380.05,22,9233.79,3.96,9549.67,0.17,1623.44
2023-12-06,Europe,Accessories,27.83,132,1956.37,4.6,3759.16,0.27,1014.97
2023-12-06,Africa,Clothing,49.27,82,6293.02,4.33,3832.09,0.38,1456.19
2023-12-07,North America,Electronics,202.63,38,10652.54,3.97,8239.71,0.18,1483.15
2023-12-08,Africa,Office Supplies,22.53,169,2117.98,3.97,3639.36,0.07,254.76
2023-12-08,Africa,Accessories,29.49,142,2118.68,4.32,4329.07,0.39,1688.34
2023-12-08,Europe,Office Supplies,24.69,173,1928.96,4.44,4395.48,0.08,351.64
2023-12-10,Asia,Office Supplies,23.43,166,1789.9,4.71,3994.61,0.1,399.46
2023-12-10,North America,Home Decor,117.49,39,3148.11,3.76,4940.29,0.23,1136.27
2023-12-12,Africa,Home Decor,113.31,38,4037.66,3.62,4598.94,0.22,1011.77
2023-12-12,Africa,Home Decor,98.31,38,3144.63,3.47,3670.02,0.17,623.9
2023-12-12,Asia,Accessories,32.73,147,2795.45,3.79,4700.0,0.33,1551.0
2023-12-12,Europe,Accessories,32.94,123,3587.02,4.64,4271.54,0.4,1708.62
2023-12-14,Africa,Clothing,51.5,90,2622.12,4.59,4682.18,0.39,1826.05
2023-12-15,Europe,Furniture,304.47,19,5100.26,3.75,6172.7,0.27,1666.63
2023-12-15,Asia,Office Supplies,23.86,170,3000.33,4.46,4272.72,0.11,470.0
2023-12-16,Asia,Accessories,25.4,128,2874.65,4.43,3287.76,0.4,1315.1
2023-12-20,Europe,Accessories,28.49,135,1466.21,3.19,4114.21,0.27,1110.84
2023-12-23,Asia,Office Supplies,26.14,182,2558.93,4.68,5049.77,0.13,656.47
2023-12-25,Asia,Clothing,51.03,83,5672.3,4.25,4604.22,0.28,1289.18
2023-12-31,Africa,Electronics,221.27,45,10590.86,3.77,9691.14,0.2,1938.23
2023-12-31,Europe,Clothing,53.21,100,3490.23,4.15,5452.25,0.28,1526.63
2024-01-02,Europe,Accessories,32.74,148,3871.97,4.62,4735.36,0.43,2036.2
2024-01-02,South America,Home Decor,106.28,50,5999.09,3.58,5766.75,0.23,1326.35
2024-01-04,Asia,Office Supplies,21.54,165,2979.57,4.78,3832.48,0.08,306.6
2024-01-05,Africa,Electronics,223.18,31,12208.99,4.55,6914.6,0.18,1244.63
